BK	NBR	ANS	QUESTION	CHOICE  A	CHOICE  B	CHOICE  C	CHOICE  D	ILLUSTRATION
1	8076	B	"INTERNATIONAL ONLY You are underway in a narrow channel, and you are being overtaken by a vessel astern.  After the overtaking vessel sounds the proper signal indicating his intention to pass your vessel on your starboard side, you signal your agreement by sounding __________."	two prolonged followed by two short blasts	"one prolonged, one short, one prolonged, and one short blast"	one short blast	two prolonged blasts	
1	8077	C	"INTERNATIONAL ONLY Vessel ""A"" is overtaking vessel ""B"" on open waters and will pass without changing course. Vessel ""A"" should __________."	sound two prolonged blasts followed by two short blasts	sound the danger signal	not sound any whistle signals	sound one long blast	
1	8078	A	"INTERNATIONAL ONLY Vessel ""A"" is overtaking vessel ""B"" on open waters as shown and will pass without changing course.  Vessel ""A"" __________."	need not sound any whistle signals	should sound two short blasts	should sound the danger signal	should sound one long blast	DIAGRAM_17
1	8080	A	INTERNATIONAL ONLY Which signal is sounded ONLY by a vessel in sight of another?	One short blast on the whistle	Four short blasts on the whistle	One prolonged blast on the whistle	"One short, one prolonged, and one short blast on the whistle"	
1	8081	B	INTERNATIONAL ONLY The light which may be used with a vessel's whistle must be __________.	used when the whistle is broken	a white light	used only at night	used prior to sounding the whistle	
1	8082	C	INTERNATIONAL ONLY Which statement is TRUE concerning light signals?	The time between flashes shall be about five seconds.	The light signals are to be used when not using sound signals.	The time between successive signals shall be not less than  ten seconds.	All of the above	
1	8083	A	"INTERNATIONAL ONLY While underway and in sight of another vessel, you put your engines full speed astern. Which statement concerning whistle signals is TRUE?"	You must sound three short blasts on the whistle.	You must sound one blast if backing to starboard.	You must sound whistle signals only if the vessels are meeting.	You need not sound any whistle signals.	
1	8084	C	"INTERNATIONAL ONLY While underway at night, a power-driven vessel of less than 7 meters in length, whose maximum speed which does not exceed 7 knots, may show __________."	"sidelights combined in a single lantern, only"	"an all-round flashing yellow light, only"	"one all-round white light, only"	"a lantern showing a white light exhibited in sufficient time to prevent collision, only"	
1	8085	A	"INTERNATIONAL ONLY At night, a power-driven vessel less than 7 meters in length, with a maximum speed which does not exceed 7 knots, MUST show when underway at least __________."	one white 360° light	a white light on the near approach of another vessel	sidelights and a stern light	the lights required of a vessel less than 12 meters in length	
1	8087	A	INTERNATIONAL ONLY Lighting requirements in inland waters are different from those for international waters for __________.	barges being pushed ahead	vessels restricted in their ability to maneuver	vessels towing astern	barges being towed astern
1	8088	D	INTERNATIONAL ONLY  A 20-meter power-driven vessel pushing  ahead or towing alongside will display __________.	two towing lights in a vertical line	a towing light above the stern light	two all-round red lights at the masthead	two masthead lights in a vertical line
1	8089	B	BOTH INTERNATIONAL AND INLAND  A towing light __________.	flashes at regular intervals of 50-70 flashes per minute	is yellow in color	shows an unbroken light over an arc of the horizon of not less than 180° nor more than 225°	All of the above
1	8090	D	BOTH INTERNATIONAL & INLAND A towing light is ____________ .	shown below the stern light	white in color	displayed at the masthead	a yellow light having the same characteristics as the stern light
1	8092	D	INTERNATIONAL ONLY A light used to signal passing intentions must be an __________.	alternating red and yellow light	alternating white and yellow light	all-round white or yellow light	all-round white light only
1	8096	C	INTERNATIONAL ONLY A vessel constrained by her draft may display __________.	three all-round red lights instead of the lights required for a power-driven vessel of her class	the same lights as a vessel restricted in her ability to maneuver	three all-round red lights in addition to the lights required for a power-driven vessel of her class	the lights for a power-driven vessel which is not under command
1	8097	B	INTERNATIONAL ONLY Which day-shape is prescribed for a vessel constrained by her draft?	A black diamond	A cylinder	A black ball	"A black cone, apex upward"
1	8098	C	"INTERNATIONAL ONLY If at night a vessel displays three all-round red lights in a vertical line, during the day she may show __________."	"two cones, base to base"	three black balls in a vertical line	a cylinder	"a cone, apex downward"
1	8099	D	INTERNATIONAL ONLY A vessel displaying three red lights in a vertical line is __________.	restricted in her ability to maneuver	not under command	engaged in mineclearing operations	constrained by her draft
1	8100	D	INTERNATIONAL ONLY The International Rules of the Road apply __________.	to all waters	to any waters inside the territorial waters of the U.S.	only to waters where foreign vessels travel	upon the high seas and connecting waters navigable by seagoing vessels
1	8101	B	"INTERNATIONAL ONLY  Which statement applies to a vessel ""constrained by her draft""?"	The term only applies to vessels in narrow channels.	She is severely restricted in her ability to change her course because of her draft in relation to the available depth and width of navigable water.	"She is designated as a ""vessel restricted in her ability to maneuver""."	The vessel must be over 100 meters in length.
1	8102	D	"INTERNATIONAL ONLY  Which statement is TRUE concerning a vessel ""constrained by her draft""?"	She is hampered because of her work.	She is unable to maneuver due to some exceptional circumstance.	She may be a vessel being towed.	She must be a power-driven vessel.
1	8103	B	"INTERNATIONAL ONLY Which vessel is NOT ""restricted in her ability to maneuver""?"	A vessel servicing an aid to navigation	A vessel constrained by her draft	"A towing vessel with tow, unable to deviate from its course"	A vessel engaged in dredging
1	8104	C	"INTERNATIONAL ONLY Your vessel is constrained by her draft and operating in a narrow channel. Another vessel is crossing your course from starboard to port.  You are in doubt as to her intentions.  According to Rule 9, you __________."	should sound one short blast to indicate that you are holding course and speed	must sound one prolonged blast	may sound the danger signal	are required to back down
1	8105	B	INTERNATIONAL ONLY Your vessel is crossing a narrow channel. A vessel to port is within the channel and crossing your course. She is showing a black cylinder. You should __________.	hold your course and speed	not impede the other vessel	exchange passing signals	sound the danger signal
1	8111	A	INTERNATIONAL ONLY Your vessel is backing out of a slip in  a harbor.  Visibility is restricted. You should sound __________.	one prolonged blast only	one prolonged blast followed by three short blasts when the last line is taken aboard	one prolonged blast followed by three short blasts when leaving the slip	the danger signal
1	8113	A	INTERNATIONAL ONLY  You are approaching another vessel and  will pass safely starboard to starboard without changing course.  You should __________.	hold course and sound no whistle signal	hold course and sound a two blast whistle signal	change course to starboard and sound one blast	hold course and sound one blast
